Sample Size,Carrier,Oracle Persistance time,BigTable Persistance time,AvsManager Processing Time,Publisher To Customer end to end (Includes idle time),Out of order messages
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
1000,pu,3.0,11.0,18.0,30.0,0
